id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6134199,Stylish Pop-Art studio on trendy UWS,6003040,Lalo,Manhattan,Upper West Side,40.78926,-73.96989,Entire home/apt,99,2,196,2020-05-01,3.08,1,334
6138423,Manhattan Multi-Million $ Luxury Central Park View,1978841,Diane,Manhattan,Upper West Side,40.79233,-73.9643,Entire home/apt,950,4,7,2019-08-31,0.12,1,254
6141561,Beautiful room & Amazing location,6984488,Jessica,Brooklyn,Prospect Heights,40.67483,-73.9646,Private room,125,4,16,2016-10-30,0.25,2,350
6142960,CleanLovely 1BR Apt in Clinton Hill,10520210,Scarlet,Brooklyn,Bedford-Stuyvesant,40.69315,-73.95998,Entire home/apt,110,2,19,2016-06-10,0.33,1,0
6145124,Spacious Bedroom in Brooklyn,31876574,Morteza,Brooklyn,Crown Heights,40.66739,-73.9501,Private room,44,1,1,2015-05-21,0.02,1,0
6145637,SPACE IN APT IN PERFECT LOCATION,9532490,Alexandra,Manhattan,East Village,40.73065,-73.98899,Shared room,75,2,65,2019-12-30,1.02,3,364
6146783,"Quiet, quaint room in Victorian TH Filtered water",14796247,Sandra And Cary,Brooklyn,Flatbush,40.64224,-73.96273,Private room,38,7,69,2020-03-17,1.28,4,331
6149507,2B Williamsburg Loft Apartment,21558108,Emma,Brooklyn,Williamsburg,40.712,-73.96666,Entire home/apt,164,1,1,2015-05-07,0.02,1,0
6150778,Guest Suite in Prime Williamsburg,608113,Adam,Brooklyn,Williamsburg,40.71059,-73.9506,Private room,95,4,1,2015-05-20,0.02,1,0
6151450,Large room in Hamilton Heights,26790498,Esther,Manhattan,Harlem,40.82366,-73.9461,Private room,50,3,1,2018-05-28,0.04,1,0
6152725,A Cozy 4 bedrm Apt Queen(5minsLGA),31916657,Rosario,Queens,East Elmhurst,40.76509,-73.877,Entire home/apt,180,3,104,2020-03-04,1.63,1,350
6155857,Heart of West Village cozy apt,7573842,Christina,Manhattan,West Village,40.73405,-74.00283,Entire home/apt,250,3,1,2016-07-21,0.02,1,0
6156319,Bright Studio Perfect for the Wknd!,7775447,Sara,Manhattan,Upper East Side,40.78073,-73.94976,Entire home/apt,185,1,4,2015-12-07,0.06,1,0
6156442,2 bedroom in hell's kitchen,31937844,Ryan,Manhattan,Hell's Kitchen,40.76329,-73.99554,Entire home/apt,180,1,2,2015-04-28,0.03,1,0
6157276,Private Comfort Room! Near Airport New York City,23591164,Angela,Queens,East Elmhurst,40.76664,-73.87577,Private room,65,1,545,2020-08-13,8.47,4,365
6161282,Loft in Williamsburg,31963371,Rajan,Brooklyn,Williamsburg,40.71014,-73.96253,Entire home/apt,225,3,90,2020-07-27,1.40,1,306
6163657,Cosy and sunny studio for you!,6090087,Giulia,Manhattan,Upper East Side,40.77253,-73.95789,Entire home/apt,120,1,9,2017-01-02,0.14,1,0
6165032,Entire apt right at the park!,25406101,Sara,Brooklyn,Prospect-Lefferts Gardens,40.66216,-73.96114,Entire home/apt,123,2,2,2015-07-27,0.03,1,0
6165564,Large room in newly renovated apt,30906910,Yuriy,Brooklyn,Bedford-Stuyvesant,40.6874,-73.94339,Private room,750,1,0,,,1,0
