Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2000-05-03 00:00:00+00:00,90.23609924316406,140.75,144.0,139.78125,144.0,12630700
2000-05-04 00:00:00+00:00,90.91725158691406,141.8125,142.359375,140.75,142.0,5963600
2000-05-05 00:00:00+00:00,92.0191879272461,143.53125,144.0,140.9375,141.0625,7862400
2000-05-08 00:00:00+00:00,91.32799530029297,142.453125,143.375,141.84375,142.75,5064100
2000-05-09 00:00:00+00:00,90.59671020507812,141.3125,143.40625,140.265625,143.0625,5620300
2000-05-10 00:00:00+00:00,88.55313873291016,138.125,140.96875,137.75,140.5,10293900
2000-05-11 00:00:00+00:00,90.57666778564453,141.28125,141.5,139.125,140.125,7091100
2000-05-12 00:00:00+00:00,91.55841064453125,142.8125,143.46875,141.625,141.8125,5960800
2000-05-15 00:00:00+00:00,93.1410903930664,145.28125,145.609375,142.0,142.75,4441300
2000-05-16 00:00:00+00:00,94.04267120361328,146.6875,147.71875,145.3125,146.5625,8192200
2000-05-17 00:00:00+00:00,93.06097412109375,145.15625,146.1875,144.46875,145.6875,5907200
2000-05-18 00:00:00+00:00,91.91893005371094,143.375,146.3125,143.375,145.625,4325600
2000-05-19 00:00:00+00:00,90.47652435302734,141.125,143.234375,140.40625,142.5625,6518400
2000-05-22 00:00:00+00:00,89.79531860351562,140.0625,141.46875,137.0,141.25,10839400
2000-05-23 00:00:00+00:00,88.47300720214844,138.0,140.8125,137.5625,140.4375,7979200
2000-05-24 00:00:00+00:00,89.91549682617188,140.25,140.6875,136.5,138.0,11081500
2000-05-25 00:00:00+00:00,88.37286376953125,137.84375,141.8125,137.71875,140.6875,8278900
2000-05-26 00:00:00+00:00,88.47300720214844,138.0,139.6875,137.328125,138.8125,4814000
2000-05-30 00:00:00+00:00,91.35801696777344,142.5,142.9375,139.46875,140.0,5362700
2000-05-31 00:00:00+00:00,91.55841064453125,142.8125,144.0,142.09375,142.5625,6056500
2000-06-01 00:00:00+00:00,93.16112518310547,145.3125,145.4375,143.0,143.6875,8961600
2000-06-02 00:00:00+00:00,94.7839584350586,147.84375,149.09375,147.484375,148.9375,8962200
2000-06-05 00:00:00+00:00,94.32318115234375,147.125,148.21875,146.875,147.46875,6998100
2000-06-06 00:00:00+00:00,93.90241241455078,146.46875,147.78125,145.90625,146.625,4858900
2000-06-07 00:00:00+00:00,94.55353546142578,147.484375,148.0,146.0,146.625,4919500
2000-06-08 00:00:00+00:00,94.18292236328125,146.90625,147.75,146.0625,147.5,5723100
2000-06-09 00:00:00+00:00,93.9825439453125,146.59375,147.96875,145.625,147.5,3085300
2000-06-12 00:00:00+00:00,92.88068389892578,144.875,146.96875,144.875,146.96875,3678900
2000-06-13 00:00:00+00:00,94.6236801147461,147.59375,147.75,144.625,144.8125,6558700
2000-06-14 00:00:00+00:00,94.7839584350586,147.84375,148.875,147.1875,148.25,6420500
2000-06-15 00:00:00+00:00,94.98426818847656,148.15625,148.75,146.84375,148.125,5881200
2000-06-16 00:00:00+00:00,94.20380401611328,146.59375,148.3125,145.875,148.3125,5567900
2000-06-19 00:00:00+00:00,95.40875244140625,148.46875,149.15625,146.25,146.46875,5106900
2000-06-20 00:00:00+00:00,95.06736755371094,147.9375,148.875,147.0,148.1875,6480000
2000-06-21 00:00:00+00:00,95.02715301513672,147.875,148.4375,146.890625,146.9375,3115000
2000-06-22 00:00:00+00:00,93.581298828125,145.625,147.6875,145.0,147.5625,7490500
2000-06-23 00:00:00+00:00,92.77802276611328,144.375,146.125,143.875,145.8125,4863300
2000-06-26 00:00:00+00:00,93.97289276123047,146.234375,146.25,144.875,145.375,5201300
2000-06-27 00:00:00+00:00,93.28006744384766,145.15625,146.71875,145.015625,145.984375,4159500
2000-06-28 00:00:00+00:00,93.5411376953125,145.5625,146.984375,145.3125,145.625,5347700
2000-06-29 00:00:00+00:00,92.65753173828125,144.1875,145.75,143.515625,144.75,6345700
2000-06-30 00:00:00+00:00,93.36042785644531,145.28125,145.59375,143.890625,143.9375,7420200
2000-07-03 00:00:00+00:00,94.6456069946289,147.28125,147.4375,145.1875,145.4375,1436600
2000-07-05 00:00:00+00:00,92.9386978149414,144.625,146.65625,144.375,146.375,2748200
2000-07-06 00:00:00+00:00,93.66163635253906,145.75,146.46875,144.21875,144.9375,5963200
2000-07-07 00:00:00+00:00,95.16780090332031,148.09375,148.78125,146.25,146.6875,3034800
2000-07-10 00:00:00+00:00,95.00711059570312,147.84375,148.90625,147.53125,147.875,2816100
2000-07-11 00:00:00+00:00,95.20796966552734,148.15625,149.125,147.15625,147.46875,5431600
2000-07-12 00:00:00+00:00,95.83048248291016,149.125,150.125,148.6875,149.28125,5883000
2000-07-13 00:00:00+00:00,96.25218200683594,149.78125,150.375,149.1875,149.984375,5356000
2000-07-14 00:00:00+00:00,97.19609069824219,151.25,151.25,149.671875,150.4375,5341900
2000-07-17 00:00:00+00:00,97.03538513183594,151.0,151.984375,150.6875,150.984375,4208300
2000-07-18 00:00:00+00:00,96.24213409423828,149.765625,150.625,149.34375,150.625,4262100
